taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	GTDB-tk Lineage	ANI Cluster ID	ANI Cluster Type	IMG Release/Pipeline Version	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	Comments	Funding Agency	High Quality	Has Coverage	Is Public	NCBI Taxon ID	Release Date	Strain	Submission Type	User Access	Alternative Contact Email	Alternative Contact Name	Alternative2 Contact Emails	Alternative2 Contact Names	Contact Email	Contact Name	Funding Program	Funding Year	Is Published	PMO Project ID	Pubmed ID	Relevance	NCBI Assembly Accession	NCBI Bioproject Accession	NCBI Biosample Accession	NCBI GenBank ID	Sequencing Depth	Sequencing Method	Sequencing Quality	Sequencing Status	Sequencing Strategy	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Biotic Relationships	Cell Arrangement	Cell Shape	Culture Type	Cultured	Diseases	Energy Source	Gram Staining	Metabolism	Motility	Oxygen Requirement	Phenotype	Sporulation	Temperature Range	Type Strain	Uncultured Type	Altitude In Meters	Chlorophyll Concentration	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation	Isolation Country	Latitude	Longhurst Code	Longhurst Description	Longitude	Nitrate Concentration	Oxygen Concentration	pH	Pressure	Salinity	Salinity Concentration	Sample Collection Date	Sample Collection Temperature	Subsurface In Meters	HMP ID	Hospital Visits	Host Gender	Host Name	Medical Record Number	Sample Body Site	Sample Body Subsite	Proportal Ecotype	Proportal Isolation	Proportal Ocean	Proportal Station	Proportal WOA Dissolved Oxygen	Proportal WOA Nitrate	Proportal WOA Phosphate	Proportal WOA Salinity	Proportal WOA Silicate	Proportal WOA Temperature	Genome Size   * assembled	Gene Count   * assembled	Scaffold Count   * assembled	Genome Bin Count   * assembled	CRISPR Count   * assembled	GC Count   * assembled	GC   * assembled	Coding Base Count   * assembled	Coding Base Count %   * assembled	Coding Base Count NP 	Coding Base Count NP % 	CDS Count   * assembled	CDS %   * assembled	RNA Count   * assembled	RNA %  * assembled	rRNA Count   * assembled	5S rRNA Count   * assembled	16S rRNA Count   * assembled	18S rRNA Count   * assembled	23S rRNA Count   * assembled	28S rRNA Count   * assembled	tRNA Count   * assembled	Other RNA Count   * assembled	Unchar Count 	Unchar % 	w/ Func Pred Count   * assembled	w/ Func Pred %   * assembled	w/o function prediction  * assembled	w/o function prediction %  * assembled	Orthologs Count	Orthologs %	Paralogs Count	Paralogs %	Revised Count 	Revised % 	Fused Count 	Fused % 	Fusion Component Count 	Fusion component % 	COG Count   * assembled	COG %   * assembled	KOG Count 	KOG % 	Pfam Count   * assembled	Pfam %   * assembled	TIGRfam Count   * assembled	TIGRfam %   * assembled	Enzyme Count   * assembled	Enzyme %   * assembled	KEGG Count   * assembled	KEGG %   * assembled	Not KEGG Count   * assembled	Not KEGG %   * assembled	KO Count   * assembled	KO %   * assembled	Not KO Count   * assembled	Not KO %   * assembled	MetaCyc Count   * assembled	MetaCyc %   * assembled	Not MetaCyc Count   * assembled	Not MetaCyc %   * assembled	IMG Term Count 	IMG Term % 	IMG Pathwawy Count 	IMG Pathway % 	IMG Parts List Count 	IMG Parts List % 	MyIMG Annotation Count	MyIMG Annotation %	Signal Peptide Count 	Signal Peptide % 	Transmembrane Count 	Transmembrane % 	Horizontally Transferred Count	Horizontally Transferred %	Genome Property Count 	Genome Property % 	Ortholog Group Count	Paralog Group Count	COG Cluster Count   * assembled	KOG Cluster Count 	Pfam Cluster Count   * assembled	TIGRfam Cluster Count   * assembled	IMG Cluster Count	IMG Cluster %	Biosynthetic Cluster Gene Count	Biosynthetic Cluster Gene %	Biosynthetic Cluster Count	Predicted Viruses  * assembled	Estimated Number of Genomes  * assembled	Estimated Average Genome Size  * assembled	Estimated number of genomes - Marker genes average  * assembled	Estimated number of genomes - Marker genes median  * assembled	Estimated number of genomes - Marker genes mode  * assembled	Standard deviation of marker gene counts  * assembled	JGI Project ID / ITS SP ID	ITS AP ID	ITS SP ID	ITS Proposal ID	JGI Data Utilization Status	GPTS Proposal ID	Number of Filtered Reads   * assembled	Number of Mapped Reads   * assembled	% Assembled Reads   * assembled	Total Filtered Bases   * assembled	Total Mapped Bases   * assembled	Average Coverage of Assembled Sequences   * assembled	
3300009010	*Microbiome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-I	DOE Joint Genome Institute (JGI)	3300009010	Environmental	Terrestrial	Soil	Unclassified	Permafrost	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA		0	0	IMG Annotation Pipeline v.4.11.0	79557	Ga0075519	Metagenome Analysis	Gp0116214	Gs0084162	2016-06-04	MEGAHIT v. MEGAHIT v1.0.3		E; D; O		Yes	Yes	0	2016-08-04		Primary				janet.jansson@pnnl.gov; sgtringe@lbl.gov	Janet Jansson; Susannah Tringe	janet.jansson@pnnl.gov	Janet Jansson	CSP	2013	No	0				PRJNA375629	SAMN06343931			Illumina HiSeq 2500-1TB	Level 1: Standard Draft	Complete	Metagenome	Environmental	Terrestrial	Unclassified	Soil	Permafrost					No																USA: Barrow Environmental Observatory site, Alaska	Arctic peat soil	Peat soil	USA	71.299			-156.61							2014/9/15			0											0	0	0	0	0	0	70790116	159718	119099	0	41	39157331	55.31469	70515352	99.61	0	0	158293	99.11	1425	.89	440	50	154	2	229	5	985	0	0	0	159718	100	-1425	-.89	0	0	0	0	0	0	0	0	0	0	92120	57.68	0	0	86488	54.15	0	0	43241	27.07	43416	27.18	114877	71.92	70045	43.86	88248	55.25	27774	17.39	130519	81.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3718	0	4736	0	0	0	0	0	0	0	22	3217732	26.83	25	22	10.91	1074523	1074499	1074523	1044	Unrestricted		0	0	0	0	0	0	
2199352028	*Microbiome	Permanent Draft	Subaerial biofilm microbial communities from sulfidic caves, Italy, that are extremely acidic	Subaerial biofilm microbial communities from sulfidic caves, Italy, that are extremely acidic - Acquasanta AS5	Pennsylvania State University	2199352028	Environmental	Terrestrial	Rock-dwelling (subaerial biofilms)	Unclassified	Unclassified	Subaerial biofilm microbial communities from sulfidic caves, Italy, that are extremely acidic		0	0	0	5914	Ga0011316	Metagenome Analysis	Gp0053344	Gs0045205	2011-09-10		Public release -   Daniel Jones  (April 29, 2016)			No	Yes	0	2016-04-29		Reanalysis		daniel.s.jones@nmt.edu	Daniel Jones	djones@psu.edu	Daniel Jones	djones@psu.edu	Daniel Jones			No	0								454 GS FLX Titanium		Complete	Metagenome	Environmental	Terrestrial	Unclassified	Rock-dwelling (subaerial biofilms)	Unclassified					No																Grotta Nuova di Rio Garrafo, near Acquasanta Terme, Italy	Subaerial biofilm	Acquasanta Cave System, Italy	Italy	42.755			13.411118										0											0	0	0	0	0	0	7103528	13784	7186	0	8	3508680	49.39	7094489	99.87	0	0	13668	99.16	116	.84	0	0	0	0	0	0	116	0	0	0	7373	53.49	6295	45.67	0	0	1680	12.19	0	0	0	0	0	0	6892	50	0	0	6862	49.78	0	0	2641	19.16	2739	19.87	10929	79.29	4762	34.55	8906	64.61	1809	13.12	11859	86.03	0	0	0	0	0	0	0	0	2997	21.74	1788	12.97	0	0	0	0	0	0	1999	0	2259	947	0	0	0	0	0	0	0	0	1.8	2	1	1.1	0	0	0				0	0	0	0	0	0	
3300047159	*Microbiome	Permanent Draft	Anaerobic fermentation bioreactor microbial communities from Madison, Wisconsin, United States	Activated sludge microbial communities from digester in WWTP, Madison, Wisconsin, United States - Acid_Sludge_Seed_B	DOE Joint Genome Institute (JGI)	3300047159	Engineered	Wastewater	Activated Sludge	Unclassified	Unclassified	Anaerobic fermentation bioreactor microbial communities from Madison, Wisconsin, United States		0	0	IMG Annotation Pipeline v.5.0.24	255478	Ga0455824	Metagenome Analysis	Gp0507756	Gs0150020	2021-08-30	MetaFlye v. 2.8.1-b1676	released based on JGI ITS			Yes	Yes	0	2021-10-27		Primary				kmyers2@wisc.edu; dnoguera@wisc.edu; nwfortney@gmail.com	Kevin Myers; Daniel Noguera; Nathaniel Fortney	dnoguera@wisc.edu; nwfortney@gmail.com	Daniel Noguera; Nathaniel Fortney	BRC-GLBRC	2020	No	0				PRJNA768577	SAMN22064467			PacBio Sequel II, Illumina NovaSeq S4	Level 3: Improved-High-Quality Draft	Complete	Metagenome	Engineered	Wastewater	Unclassified	Activated Sludge	Unclassified					No															268	USA: Madison, Wisconsin	Activated sludge	WWTP digester sludge	USA	43.0738			-89.414							2019/8/19			0											0	0	0	0	0	0	136813063	150798	2357	19	62	75000705	54.82	136202733	99.55	0	0	148507	98.48	2291	1.52	298	95	101	0	102	0	1993	0	0	0	99200	65.78	49307	32.7	0	0	0	0	0	0	0	0	0	0	94957	62.97	0	0	99089	65.71	29945	20	34191	22.67	35045	23.24	113462	75.24	60561	40.16	87946	58.32	20762	13.77	127745	84.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4063	0	5347	2467	0	0	0	0	0	0	40	3420326	40.87	40	0	9.54	1281143	1281058	1281143	506431	Unrestricted		0	0	0	0	0	0	
3300005253	*Microbiome	Permanent Draft	Marine sediment microbial community from Loki's castle, Arctic Ocean	Marine sediment microbial community near Loki's castle	Uppsala University	3300005253	Environmental	Aquatic	Marine	Oceanic	Sediment	Marine sediment microbial community from Loki's castle, Arctic Ocean		0	0	0	62685	Ga0073583	Metagenome Analysis	Gp0115314	Gs0114725	2015-05-30	Spades 3.5	released per Natalia: IMGSUPP-1553			Yes	Yes	0	2018-05-18		Reanalysis		NCKyrpides@lbl.gov	Nikos Kyrpides	thijs.ettema@ebc.uu.se; NNIvanova@lbl.gov	Thijs J. G. Ettema; Natalia Ivanova	nnivanova@lbl.gov, thijs.ettema@ebc.uu.se; NNIvanova@lbl.gov	Natasha Ivanova, Thijs J. G. Ettema; Natalia Ivanova			Yes	0	25945739			PRJNA259156	SAMN03002196			Illumina, Illumina HiSeq, Illumina HiSeq 2500	Level 1: Standard Draft	Complete	Metagenome	Environmental	Aquatic	Oceanic	Marine	Sediment					No														.74		Loki's castle hydrothermal vent	Marine sediment	Loki's castle hydrothermal vent sediment		73.763167			8.464			7.66				2010		-3283	0											0	0	0	0	0	0	361409001	681333	344793	16	204	166923295	46.18681	360722871	99.81	0	0	675185	99.1	6148	.9	414	70	123	1	219	1	5734	0	0	0	201179	29.53	474006	69.57	0	0	0	0	0	0	0	0	0	0	247929	36.39	0	0	226010	33.17	0	0	86478	12.69	88256	12.95	586929	86.14	150950	22.16	524235	76.94	51818	7.61	623367	91.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4512	0	5971	0	0	0	0	0	0	699	0	0	54.29	49	47	30.74	0	0	0				0	0	0	0	0	0	
3300013315	*Microbiome	Permanent Draft	Sediment microbial communities from Acid Mine Drainage (AMD) holding pond in Pittsburgh, PA, USA	Sediment microbial communities from Acid Mine Drainage holding pond in Pittsburgh, PA, USA - 1B	University of California, Davis	3300013315	Engineered	Wastewater	Industrial wastewater	Mine water	Sediment	Sediment microbial communities from Acid Mine Drainage (AMD) holding pond in Pittsburgh, PA, USA		0	0	IMG Annotation Pipeline v.4.14.6	115700	Ga0173609	Metagenome Analysis	Gp0206466	Gs0127524	2017-02-22	MegaHit	released per PI's request			No	Yes	0	2017-02-27		Primary		mclimcj13@juniata.edu	Christopher McLimans	mclimcj13@juniata.edu	Christopher McLimans	mclimcj13@juniata.edu	Christopher McLimans			No	0								Illumina HiSeq		Complete	Metagenome	Engineered	Wastewater	Mine water	Industrial wastewater	Sediment					No																Pittsburgh PA	Sediment	Acid Mine Drainage pond		40.4406			-79.9959										0											0	0	0	0	0	0	663748475	1381741	1103481	5	244	354038099	53.34	662604392	99.83	0	0	1374636	99.49	7105	.51	1545	208	424	36	822	55	5560	0	0	0	1381741	100	-7105	-.51	0	0	0	0	0	0	0	0	0	0	651487	47.15	0	0	650870	47.11	0	0	290565	21.03	293283	21.23	1081353	78.26	489049	35.39	885587	64.09	177450	12.84	1197186	86.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4340	0	7275	0	0	0	0	0	0	44	163	4072076	157.09	148	163	56.83	0	0	0				0	0	0	0	0	0	
3300003315	*Microbiome	Permanent Draft	Ore pile and mine drainage contaminated soil microbial communities from Mina do Sossego, Brazil, in a copper mine	Ore pile and mine drainage contaminated soil microbial communities from Mina do Sossego, Brazil - P2 sample	University of Campinas	3300003315	Environmental	Terrestrial	Soil	Unclassified	Mine drainage	Ore pile and mine drainage contaminated soil microbial communities from Mina do Sossego, Brazil, in a copper mine		0	0	0	49350	Ga0057741	Metagenome Analysis	Gp0103952	Gs0110185	2014-09-08	IDBA-UD	released per JGI data release policy			No	Yes	0	2019-11-01		Reanalysis		danba.castro@gmail.com	Daniel Castro	danba.castro@gmail.com	Daniel Castro	danba.castro@gmail.com	Daniel Castro			No	0								Illumina HiSeq 2500		Complete	Metagenome	Environmental	Terrestrial	Unclassified	Soil	Mine drainage					No																Mina do Sossego, Brazil	Ore pile and mine drainage contaminated soil	Mina do Sossego	Brazil	-6.426389			-50.051389							2013/7/16			0											0	0	0	0	0	0	303396466	445005	201463	0	147	194737003	64.19	302835271	99.82	0	0	440648	99.02	4357	.98	474	106	125	2	238	3	3883	0	0	0	258541	58.1	182107	40.92	0	0	0	0	0	0	0	0	0	0	293474	65.95	0	0	283055	63.61	0	0	108992	24.49	84477	18.98	356171	80.04	108992	24.49	331656	74.53	74749	16.8	365899	82.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4361	0	5662	0	0	0	0	0	0	18	78	3889698	78.4	78	78	15.67	0	0	0				0	0	0	0	0	0	
3300010372	*Microbiome	Permanent Draft	Subsurface microbial communities from deep shales in Ohio and West Virginia, USA	Subsurface microbial communities from deep shales in Ohio, USA - Utica-3 well 1 S-1-Day1	DOE Joint Genome Institute (JGI)	3300010372	Environmental	Terrestrial	Deep subsurface	Shale gas reservoir	Flow back/Produced fluids	Subsurface microbial communities from deep shales in Ohio and West Virginia, USA		0	0	IMG Annotation Pipeline v.4.11.4	96987	Ga0114984	Metagenome Analysis	Gp0134336	Gs0118431	2016-09-07	MEGAHIT v. MEGAHIT v1.0.6				Yes	Yes	0	2016-11-06		Primary				kwrighton@gmail.com; paula.mouser@unh.edu; mike.wilkins@colostate.edu	Kelly Wrighton; Paula Mouser; Michael Wilkins	kwrighton@gmail.com	Kelly Wrighton	CSP	2016	Yes	0	30510171			PRJNA367419	SAMN06267270			Illumina HiSeq 2500-1TB	Level 1: Standard Draft	Complete	Metagenome	Environmental	Terrestrial	Shale gas reservoir	Deep subsurface	Flow back/Produced fluids					No														2500		USA: Ohio	Deep subsurface	Deep subsurface	USA	39.849			-81.036							2015/7/14			0											0	0	0	0	0	0	243861443	455545	283650	6	249	142788899	58.55329	243316672	99.78	0	0	451122	99.03	4423	.97	1129	241	332	1	554	1	3294	0	0	0	455545	100	-4423	-.97	0	0	0	0	0	0	0	0	0	0	297566	65.32	0	0	283059	62.14	0	0	128707	28.25	139069	30.53	312053	68.5	243054	53.35	208068	45.67	76097	16.7	375025	82.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3904	0	5513	0	0	0	0	0	0	69	58	4204507	64.76	61	58	19.1	1101500	1101481	1101500	1931	Unrestricted		0	0	0	0	0	0	
3300010386	*Microbiome	Permanent Draft	Acid mine drainage microbial communities from Malanjkhand copper mine, India	Acid mine drainage microbial communities from Malanjkhand copper mine, India - M8 kmer 63	Xcelris labs Ltd	3300010386	Environmental	Aquatic	Freshwater	Groundwater	Acid Mine Drainage	Acid mine drainage microbial communities from Malanjkhand copper mine, India		0	0	IMG Annotation Pipeline v.4.11.4	96220	Ga0136806	Metagenome Analysis	Gp0155277	Gs0121499	2016-09-09	Metavelvet	released per JGI data release policy			No	Yes	0	2019-11-01		Primary		ab7gupta@gmail.com	Abhishek Gupta	psar@hijli.iitkgp.ernet.in	Pinaki Sar	psar@hijli.iitkgp.ernet.in	Pinaki Sar			No	0								Illumina NextSeq 500	Level 1: Standard Draft	Complete	Metagenome	Environmental	Aquatic	Groundwater	Freshwater	Acid Mine Drainage					No																Malanjkhand, India	sediment	Malanjkhand,  India	India	21.9985			80.697983							2014/4/13			0											0	0	0	0	0	0	245915677	570152	431657	0	110	150391349	61.15566	245440739	99.81	0	0	566214	99.31	3938	.69	1191	90	386	63	555	97	2747	0	0	0	570152	100	-3938	-.69	0	0	0	0	0	0	0	0	0	0	281577	49.39	0	0	259286	45.48	0	0	140039	24.56	144688	25.38	421526	73.93	230628	40.45	335586	58.86	89076	15.62	477138	83.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4090	0	6952	0	0	0	0	0	0	9	75	3278875	72.36	68	75	27.94	0	0	0				0	0	0	0	0	0	
3300031804	*Microbiome	Permanent Draft	Marine microbial communities from Western Arctic Ocean, Canada	Marine microbial communities from Western Arctic Ocean, Canada - CB11b_AW_Bot5	DOE Joint Genome Institute (JGI)	3300031804	Environmental	Aquatic	Marine	Oceanic	Unclassified	Marine microbial communities from Western Arctic Ocean, Canada		0	0	IMG Annotation Pipeline v.4.16.5	203507	Ga0310124	Metagenome Analysis	Gp0324314	Gs0134626	2018-11-28	spades v. 3.12.0				Yes	Yes	0	2019-01-27		Primary				connie.lovejoy@bio.ulaval.ca; david.walsh@concordia.ca; celine.gueguen@usherbrooke.ca	Connie Lovejoy; David Walsh; Celine Gueguen	david.walsh@concordia.ca	David Walsh	CSP-EMSL	2018	No	0				PRJNA539693	SAMN11532301			Illumina NovaSeq	Level 1: Standard Draft	Complete	Metagenome	Environmental	Aquatic	Oceanic	Marine	Unclassified					No														800		Canada: Western Arctic Ocean	marine	untreated ocean water	Canada	79.9957			-149.9767							2017/9/17			0											0	0	0	0	0	0	1517438995	3168453	2328282	7	741	777419204	51.23	1514435038	99.8	0	0	3144747	99.25	23706	.75	3415	488	1059	90	1606	172	20291	0	0	0	1848773	58.35	1295974	40.9	0	0	0	0	0	0	0	0	0	0	1635474	51.62	0	0	1607681	50.74	0	0	846111	26.7	851426	26.87	2293321	72.38	1258466	39.72	1886281	59.53	582998	18.4	2561749	80.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4264	0	6628	0	0	0	0	0	0	88	458	3313185	558.42	532	458	193.83	1207105	1207098	1207105	503549	Restricted		205109814	139135288	67.83	30730494768	20845888144	13.74	
3300027819	*Microbiome	Permanent Draft	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls, New York, USA	Subsurface groundwater microbial communities from S. Glens Falls, New York, USA - GMW37 contaminated, 5.8 m (SPAdes)	DOE Joint Genome Institute (JGI)	3300027819	Environmental	Aquatic	Freshwater	Groundwater	Contaminated	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls, New York, USA		0	0	IMG Annotation Pipeline v.4.16.2	187452	Ga0209514	Metagenome Analysis	Gp0053848	Gs0069861	2018-05-12	spades v. 3.11.1		E; D; O		Yes	Yes	0	2018-07-11		Reanalysis		Ioanna.Pagani@thermofisher.com	Ioanna Pagani	elm3@cornell.edu	Eugene Madsen	elm3@cornell.edu	Eugene Madsen	CSP	2010	No	408230				PRJNA366593	SAMN06268928			Illumina HiSeq 2000, Illumina HiSeq 2500	Level 1: Standard Draft	Complete	Metagenome	Environmental	Aquatic	Groundwater	Freshwater	Contaminated					No														5.8	101	S. Glens Falls, New York, USA	Groundwater	S. Glens Falls, New York, USA	USA	43.099444			-73.604444							2010/11/12			0											0	0	0	0	0	0	1161803823	2007806	1122371	115	749	645665852	55.57	1158929379	99.75	0	0	1988209	99.02	19597	.98	2258	365	721	13	1135	24	17339	0	0	0	1236700	61.59	751509	37.43	0	0	0	0	0	0	0	0	0	0	1128715	56.22	0	0	1107884	55.18	0	0	470033	23.41	491087	24.46	1497122	74.57	784929	39.09	1203280	59.93	303837	15.13	1684372	83.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4372	0	6827	0	0	0	869	.04	39	129	351	3309982	382.62	387	351	111.33	1001465	1166030	1001465	44	Unrestricted	300481	0	0	0	0	0	0	
