COG ID	COG Name	Gene Count
COG0001	Glutamate-1-semialdehyde aminotransferase	147
COG0002	N-acetyl-gamma-glutamylphosphate reductase	87
COG0003	Anion-transporting ATPase, ArsA/GET3 family	14
COG0004	Ammonia channel protein AmtB	179
COG0005	Purine nucleoside phosphorylase	50
COG0006	Xaa-Pro aminopeptidase	148
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	58
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	220
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	113
COG0010	Arginase family enzyme	76
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	5
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	97
COG0013	Alanyl-tRNA synthetase	150
COG0014	Gamma-glutamyl phosphate reductase	99
COG0015	Adenylosuccinate lyase	93
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	95
COG0017	Aspartyl/asparaginyl-tRNA synthetase	62
COG0018	Arginyl-tRNA synthetase	141
COG0019	Diaminopimelate decarboxylase	171
COG0020	Undecaprenyl pyrophosphate synthase	107
COG0021	Transketolase	138
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	103
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	15
COG0024	Methionine aminopeptidase	103
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	39
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	89
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	31
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	274
COG0029	Aspartate oxidase	92
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	95
COG0031	Cysteine synthase	156
COG0033	Phosphoglucomutase	41
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	122
COG0035	Uracil phosphoribosyltransferase	52
COG0036	Pentose-5-phosphate-3-epimerase	86
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	96
COG0038	H+/Cl- antiporter ClcA	33
COG0039	Malate/lactate dehydrogenase	66
COG0040	ATP phosphoribosyltransferase	64
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	75
COG0042	tRNA-dihydrouridine synthase	151
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	51
COG0044	Dihydroorotase or related cyclic amidohydrolase	138
COG0045	Succinyl-CoA synthetase, beta subunit	96
